c041,0,255,0,0
c041,1,0,255,0
c041,2,0,0,255
c041,3,0,255,255
c041,4,255,0,255
c041,5,255,255,0
c041,6,128,0,0
c041,7,0,128,0
c041,8,0,0,128
c041,9,0,128,128
c041,10,128,0,128
c041,11,128,128,0
c041,12,64,0,0
c041,13,0,64,0
c041,14,0,0,64
c041,15,0,64,64
c041,16,255,255,255
c042,0,255,0,0
c042,1,0,255,0
c042,2,0,0,255
c042,3,0,255,255
c042,4,255,0,255
c042,5,255,255,0
c042,6,128,0,0
c042,7,0,128,0
c042,8,0,0,128
c042,9,0,128,128
c042,10,128,0,128
c042,11,128,128,0
c042,12,64,0,0
c042,13,0,64,0
c042,14,0,0,64
c042,15,0,64,64
c042,16,255,255,255
c043,0,255,0,0
c043,1,0,255,0
c043,2,0,0,255
c043,3,0,255,255
c043,4,255,0,255
c043,5,255,255,0
c043,6,128,0,0
c043,7,0,128,0
c043,8,0,0,128
c043,9,0,128,128
c043,10,128,0,128
c043,11,128,128,0
c043,12,64,0,0
c043,13,0,64,0
c043,14,0,0,64
c043,15,0,64,64
c043,16,255,255,255
c044,0,255,0,0
c044,1,0,255,0
c044,2,0,0,255
c044,3,0,255,255
c044,4,255,0,255
c044,5,255,255,0
c044,6,128,0,0
c044,7,0,128,0
c044,8,0,0,128
c044,9,0,128,128
c044,10,128,0,128
c044,11,128,128,0
c044,12,64,0,0
c044,13,0,64,0
c044,14,0,0,64
c044,15,0,64,64
c044,16,64,0,64
c044,17,64,64,0
c044,18,32,0,0
c044,19,255,255,255
c045,0,255,0,0
c045,1,0,255,0
c045,2,0,0,255
c045,3,0,255,255
c045,4,255,0,255
c045,5,255,255,0
c045,6,128,0,0
c045,7,0,128,0
c045,8,0,0,128
c045,9,0,128,128
c045,10,128,0,128
c045,11,128,128,0
c045,12,64,0,0
c045,13,0,64,0
c045,14,0,0,64
c045,15,255,255,255
c046,0,255,0,0
c046,1,0,255,0
c046,2,0,0,255
c046,3,0,255,255
c046,4,255,0,255
c046,5,255,255,0
c046,6,128,0,0
c046,7,0,128,0
c046,8,0,0,128
c046,9,0,128,128
c046,10,128,0,128
c046,11,128,128,0
c046,12,64,0,0
c046,13,0,64,0
c046,14,0,0,64
c046,15,0,64,64
c046,16,255,255,255
